iter	Passed	Remaining
0	69	68946
1	69	34613
2	69	23149
3	69	17417
4	70	13977
5	70	11684
6	70	10046
7	71	8836
8	71	7910
9	72	7168
10	72	6561
11	73	6064
12	73	5614
13	75	5297
14	78	5125
15	80	4963
16	81	4709
17	81	4465
18	82	4241
19	82	4039
20	82	3856
21	83	3690
22	83	3538
23	83	3399
24	83	3271
25	86	3246
26	87	3143
27	87	3053
28	88	2974
29	89	2898
30	89	2811
31	90	2729
32	90	2652
33	90	2579
34	91	2510
35	93	2504
36	95	2479
37	98	2487
38	98	2437
39	99	2388
40	100	2354
41	101	2307
42	101	2258
43	101	2210
44	102	2165
45	102	2122
46	102	2080
47	102	2040
48	103	2002
49	103	1965
50	103	1930
51	106	1949
52	107	1919
53	107	1887
54	108	1855
55	110	1870
56	111	1840
57	112	1829
58	113	1806
59	113	1782
60	114	1760
61	114	1734
62	114	1709
63	115	1685
64	115	1661
65	115	1638
66	116	1616
67	116	1594
68	116	1573
69	116	1553
70	117	1533
71	117	1514
72	117	1495
73	118	1477
74	118	1459
75	118	1441
76	118	1424
77	119	1409
78	119	1393
79	123	1419
80	123	1406
81	124	1393
82	124	1377
83	126	1383
84	127	1369
85	127	1354
86	127	1340
87	127	1326
88	128	1313
89	130	1316
90	130	1303
91	130	1290
92	131	1278
93	131	1265
94	131	1253
95	131	1241
96	133	1242
97	134	1234
98	134	1225
99	134	1214
100	135	1203
101	135	1193
102	135	1182
103	136	1172
104	136	1162
105	136	1152
106	137	1145
107	137	1137
108	138	1129
109	138	1123
110	139	1113
111	139	1105
112	139	1096
113	139	1087
114	140	1078
115	140	1070
116	140	1061
117	140	1053
118	141	1045
119	141	1037
120	141	1029
121	143	1030
122	143	1024
123	144	1019
124	144	1013
125	145	1008
126	145	1002
127	146	998
128	146	991
129	147	984
130	147	977
131	147	971
132	147	964
133	148	957
134	148	951
135	148	945
136	149	944
137	153	959
138	154	954
139	154	948
140	154	942
141	154	935
142	155	929
143	155	923
144	155	917
145	155	911
146	156	906
147	156	901
148	156	896
149	157	890
150	157	885
151	157	879
152	157	874
153	158	869
154	158	865
155	159	861
156	159	858
157	160	857
158	161	854
159	162	851
160	162	846
161	163	843
162	163	839
163	163	834
164	163	829
165	164	825
166	164	820
167	164	816
168	165	811
169	165	807
170	165	802
171	165	798
172	166	794
173	166	790
174	166	785
175	166	781
176	167	777
177	167	773
178	167	769
179	168	765
180	168	761
181	168	758
182	169	754
183	169	750
184	169	747
185	170	744
186	171	745
187	171	742
188	172	741
189	173	738
190	173	736
191	174	733
192	174	731
193	175	729
194	176	727
195	176	725
196	177	723
197	178	722
198	179	720
199	179	718
200	180	716
201	180	713
202	181	711
203	182	710
204	182	708
205	183	706
206	184	705
207	184	704
208	185	702
209	186	699
210	186	697
211	187	695
212	187	693
213	188	691
214	188	689
215	189	687
216	189	684
217	190	681
218	190	678
219	190	675
220	190	672
221	191	669
222	191	666
223	191	664
224	191	661
225	192	658
226	192	655
227	192	653
228	193	650
229	193	647
230	193	644
231	194	642
232	194	639
233	194	636
234	194	634
235	195	631
236	195	629
237	195	626
238	195	623
239	196	621
240	196	618
241	196	616
242	197	613
243	197	611
244	197	608
245	197	606
246	198	604
247	198	601
248	198	599
249	198	596
250	200	598
251	200	596
252	201	593
253	201	591
254	201	589
255	201	586
256	203	588
257	204	586
258	204	585
259	205	583
260	205	582
261	207	584
262	207	582
263	208	580
264	208	579
265	209	577
266	209	576
267	210	574
268	211	573
269	211	571
270	212	570
271	212	569
272	213	567
273	213	566
274	214	565
275	214	563
276	215	562
277	216	561
278	216	560
279	217	558
280	217	556
281	217	554
282	218	553
283	218	551
284	218	549
285	219	547
286	219	545
287	219	543
288	220	541
289	220	539
290	220	537
291	220	535
292	221	534
293	221	532
294	221	530
295	222	528
296	222	526
297	222	525
298	223	523
299	223	521
300	223	519
301	224	517
302	224	516
303	224	514
304	224	512
305	225	510
306	225	508
307	225	507
308	225	505
309	226	503
310	226	501
311	226	500
312	227	498
313	227	496
314	227	495
315	228	493
316	228	492
317	228	490
318	228	488
319	229	487
320	229	485
321	229	483
322	230	482
323	230	480
324	230	479
325	230	477
326	231	475
327	231	474
328	231	472
329	231	470
330	232	469
331	232	467
332	232	466
333	233	464
334	233	463
335	233	461
336	233	460
337	234	458
338	234	457
339	234	455
340	235	454
341	235	452
342	235	451
343	235	449
344	236	448
345	236	446
346	236	445
347	236	443
348	237	442
349	237	441
350	237	439
351	238	438
352	238	436
353	238	435
354	238	433
355	239	432
356	239	431
357	239	429
358	239	428
359	240	426
360	240	425
361	240	424
362	240	422
363	241	421
364	241	420
365	241	418
366	242	417
367	242	416
368	243	415
369	243	414
370	243	413
371	244	411
372	244	410
373	244	409
374	244	408
375	245	406
376	245	405
377	245	404
378	246	403
379	246	401
380	246	400
381	246	399
382	247	397
383	247	396
384	247	395
385	247	394
386	248	392
387	248	391
388	248	390
389	248	389
390	249	387
391	249	386
392	249	385
393	249	384
394	250	383
395	250	381
396	250	380
397	250	379
398	251	378
399	251	377
400	252	376
401	252	375
402	252	374
403	252	373
404	253	371
405	253	370
406	253	369
407	253	368
408	254	367
409	254	366
410	254	365
411	255	364
412	255	362
413	255	361
414	255	360
415	256	359
416	256	358
417	256	357
418	256	356
419	257	354
420	257	353
421	257	352
422	257	351
423	258	350
424	258	349
425	258	348
426	258	347
427	259	346
428	259	345
429	259	344
430	259	342
431	260	341
432	260	340
433	260	339
434	260	338
435	261	337
436	261	336
437	261	335
438	261	334
439	262	333
440	262	332
441	262	331
442	262	330
443	263	329
444	263	328
445	263	327
446	263	326
447	264	325
448	264	324
449	264	323
450	264	322
451	265	321
452	265	320
453	265	319
454	265	318
455	266	317
456	266	316
457	266	315
458	267	314
459	267	313
460	267	312
461	267	312
462	268	311
463	268	310
464	268	309
465	269	308
466	269	307
467	269	306
468	269	305
469	270	304
470	270	303
471	270	302
472	270	301
473	271	300
474	271	299
475	271	298
476	271	298
477	272	297
478	272	296
479	272	295
480	272	294
481	273	293
482	273	292
483	273	291
484	273	290
485	274	289
486	274	289
487	274	288
488	274	287
489	275	286
490	275	285
491	275	284
492	276	283
493	276	283
494	276	282
495	276	281
496	277	280
497	277	279
498	277	278
499	277	277
500	278	277
501	278	276
502	278	275
503	278	274
504	279	273
505	279	272
506	279	271
507	279	271
508	280	270
509	280	269
510	280	268
511	280	267
512	281	266
513	281	266
514	281	265
515	281	264
516	282	263
517	282	262
518	282	262
519	283	261
520	283	260
521	283	259
522	283	258
523	284	258
524	284	257
525	284	256
526	284	255
527	285	254
528	285	254
529	285	253
530	285	252
531	286	251
532	286	250
533	286	250
534	286	249
535	287	248
536	287	247
537	287	247
538	287	246
539	288	245
540	288	244
541	288	243
542	288	243
543	289	242
544	289	241
545	289	240
546	289	240
547	290	239
548	290	238
549	290	237
550	291	237
551	291	236
552	291	235
553	291	234
554	292	234
555	292	233
556	292	232
557	292	232
558	293	231
559	293	230
560	293	229
561	294	229
562	294	228
563	294	227
564	294	227
565	295	226
566	295	225
567	295	224
568	295	224
569	296	223
570	296	222
571	296	221
572	296	221
573	297	220
574	297	219
575	297	219
576	297	218
577	298	217
578	298	217
579	298	216
580	299	215
581	299	214
582	299	214
583	299	213
584	299	212
585	300	212
586	300	211
587	300	210
588	301	210
589	301	209
590	301	208
591	301	208
592	302	207
593	302	206
594	302	206
595	302	205
596	303	204
597	303	203
598	303	203
599	303	202
600	304	201
601	304	201
602	304	200
603	304	199
604	305	199
605	305	198
606	305	197
607	305	197
608	306	196
609	306	195
610	306	195
611	306	194
612	307	193
613	307	193
614	307	192
615	307	191
616	308	191
617	308	190
618	308	190
619	309	189
620	309	188
621	309	188
622	309	187
623	310	186
624	310	186
625	310	185
626	310	184
627	311	184
628	311	183
629	311	182
630	311	182
631	312	181
632	312	181
633	312	180
634	312	179
635	313	179
636	313	178
637	313	177
638	313	177
639	314	176
640	314	176
641	314	175
642	314	174
643	315	174
644	315	173
645	315	173
646	315	172
647	316	171
648	316	171
649	316	170
650	316	169
651	317	169
652	317	168
653	317	168
654	318	167
655	318	166
656	318	166
657	318	165
658	319	165
659	319	164
660	319	163
661	319	163
662	320	162
663	320	162
664	320	161
665	320	160
666	321	160
667	321	159
668	321	159
669	322	158
670	322	158
671	322	157
672	322	156
673	323	156
674	323	155
675	323	155
676	323	154
677	324	153
678	324	153
679	324	152
680	324	152
681	325	151
682	325	151
683	325	150
684	325	149
685	326	149
686	326	148
687	326	148
688	326	147
689	327	146
690	327	146
691	327	145
692	327	145
693	328	144
694	328	144
695	328	143
696	329	143
697	329	142
698	329	141
699	329	141
700	330	140
701	330	140
702	330	139
703	330	139
704	331	138
705	331	138
706	331	137
707	331	136
708	332	136
709	332	135
710	332	135
711	333	134
712	333	134
713	333	133
714	333	133
715	334	132
716	334	131
717	334	131
718	334	130
719	335	130
720	335	129
721	335	129
722	335	128
723	336	128
724	336	127
725	336	127
726	336	126
727	337	125
728	337	125
729	337	124
730	337	124
731	338	123
732	338	123
733	338	122
734	338	122
735	339	121
736	339	121
737	339	120
738	339	120
739	340	119
740	340	119
